,sex,age,housing,class-label,employment-since
407,1,1,1,1,0
408,1,1,1,1,0
409,1,1,1,0,1
410,0,0,1,1,0
411,1,1,1,1,1
412,1,1,1,0,0
413,1,1,0,1,0
414,0,1,1,0,0
415,1,1,1,1,0
416,1,1,1,0,0
417,0,0,0,1,0
418,0,1,1,1,1
419,0,1,1,0,0
420,0,0,0,1,1
421,1,1,1,1,0
422,1,1,1,1,1
423,1,1,1,1,1
424,0,0,1,0,0
425,1,0,0,1,0
426,1,1,1,1,0
427,1,1,1,1,0
428,1,0,1,1,0
429,0,1,0,0,0
430,1,1,1,1,1
431,1,1,1,0,0
432,1,1,0,1,0
433,1,1,1,1,0
434,1,0,1,1,0
435,1,0,1,0,0
436,1,0,0,1,1
437,0,1,1,1,0
438,1,1,1,1,0
439,0,1,1,0,0
440,1,1,1,1,0
441,0,1,1,1,0
442,1,1,1,1,0
443,1,1,1,0,0
444,0,1,1,0,0
445,0,1,0,1,0
446,0,1,1,0,0
447,1,1,1,1,0
448,0,1,1,1,0
449,1,1,1,0,0
450,1,1,1,1,0
451,0,1,1,1,0
452,1,1,1,1,0
453,1,1,1,1,0
454,1,1,1,0,1
455,0,1,1,1,0
456,1,1,0,1,0
457,1,1,0,0,0
458,0,1,1,1,0
459,1,1,1,1,0
460,1,1,1,1,0
461,1,1,1,1,0
462,0,1,0,1,0
463,1,1,1,1,0
464,1,1,1,1,1
465,1,1,1,1,0
466,0,1,0,0,0
467,1,1,1,1,0
468,0,1,1,1,0
469,1,1,1,1,1
470,1,0,0,0,0
471,0,0,1,0,0
472,1,1,1,0,0
473,1,1,1,1,0
474,1,1,1,0,0
475,0,1,0,0,0
476,1,0,1,1,0
477,1,0,1,1,1
478,1,1,1,1,1
479,1,1,1,1,0
480,0,0,1,1,0
481,1,1,1,1,0
482,0,1,0,1,0
483,0,1,1,1,1
484,1,1,1,1,0
485,1,1,1,0,0
486,1,1,1,1,0
487,0,1,0,1,0
488,1,1,0,1,0
489,1,1,0,1,0
490,1,1,1,1,0
491,0,1,0,0,0
492,0,1,1,1,0
493,1,1,1,1,0
494,1,1,0,1,0
495,1,0,1,0,0
496,1,1,0,0,0
497,1,1,1,1,1
498,1,1,1,1,0
499,1,1,1,1,0
500,0,1,1,0,0
501,1,1,0,1,0
502,1,1,1,1,0
503,1,1,1,0,0
504,0,0,0,0,0
505,1,1,1,0,0
506,1,1,1,1,0
507,1,1,1,0,0
508,1,1,1,1,0
509,1,1,1,1,0
510,1,1,1,0,1
511,1,1,0,1,0
512,1,1,0,1,1
513,1,0,0,1,0
514,1,1,1,1,0
515,0,1,1,1,1
516,1,1,1,1,0
517,0,0,0,0,0
518,1,1,1,1,0
519,1,1,0,1,0
520,1,1,0,1,0
521,0,0,1,0,0
522,1,1,0,0,0
523,0,0,1,1,1
524,0,1,1,1,0
525,1,1,1,1,0
526,0,1,1,1,0
527,1,1,1,1,1
528,1,1,0,0,0
529,1,1,1,1,0
530,1,1,1,1,1
531,0,1,0,0,0
532,1,1,0,1,0
533,1,1,1,1,1
534,1,0,1,1,0
535,1,1,0,0,0
536,0,1,1,1,0
537,0,1,1,1,0
538,1,1,0,0,0
539,0,1,1,1,0
540,1,0,0,0,0
541,1,1,0,1,0
542,1,1,1,0,0
543,1,1,1,0,0
544,1,1,1,1,0
545,1,1,0,0,0
546,0,1,1,1,0
547,1,1,1,1,1
548,0,0,1,0,0
549,1,1,0,1,1
550,0,0,1,1,1
551,1,1,1,1,0
552,1,1,1,0,1
553,1,1,1,1,0
554,0,1,1,1,1
555,1,0,1,0,0
556,0,1,1,0,0
557,0,1,1,0,0
558,1,1,1,0,1
559,1,1,1,0,0
560,1,1,0,1,0
561,1,0,0,0,1
562,0,1,1,1,0
563,1,1,0,0,0
564,1,1,1,1,0
565,0,0,0,1,1
566,1,1,1,0,1
567,1,1,1,1,0
568,1,1,1,1,1
569,0,1,1,0,0
570,0,0,0,0,0
571,1,1,1,1,1
572,0,1,0,1,0
573,0,0,1,1,0
574,1,1,1,1,0
575,0,0,1,1,1
576,0,1,1,1,1
577,0,1,1,1,0
578,1,1,1,0,0
579,1,1,1,1,0
580,1,1,1,0,0
581,1,1,1,1,0
582,0,1,0,1,0
583,1,1,0,0,0
584,0,1,0,1,0
585,0,0,0,0,0
586,1,1,0,1,0
587,1,0,1,1,0
588,1,1,1,0,0
589,1,1,1,0,0
590,0,1,1,1,1
591,0,1,0,1,0
592,0,1,1,1,0
593,0,0,0,0,0
594,1,1,1,0,0
595,0,1,1,0,0
596,0,0,0,0,1
597,1,1,1,0,0
598,1,1,1,0,1
599,1,1,0,1,0
600,0,1,1,1,0
601,0,1,1,0,0
602,0,1,0,0,1
603,0,1,1,0,0
604,0,0,1,1,0
605,1,0,1,1,0
606,1,1,1,1,0
607,0,1,0,0,0
608,1,1,1,1,0
609,1,1,0,1,0
610,0,0,1,0,0
611,0,1,0,0,0
612,0,1,1,1,0
613,0,0,0,1,0
614,0,0,1,0,1
615,1,1,1,1,0
616,1,1,0,1,0
617,1,1,0,1,0
618,0,0,0,0,0
619,1,1,1,1,0
620,1,1,1,1,1
621,1,1,1,0,0
622,1,1,1,0,0
623,0,0,0,1,0
624,1,1,0,0,0
625,1,1,1,1,0
626,1,1,1,1,0
627,1,1,1,0,1
628,1,1,1,1,0
629,1,1,1,1,0
630,0,1,1,1,0
631,1,1,1,0,0
632,1,0,1,1,0
633,0,0,0,0,0
634,0,0,1,0,0
635,1,1,1,1,0
636,0,1,1,1,1
637,1,0,1,1,1
638,0,1,1,1,0
639,1,1,1,0,1
640,0,1,1,0,0
641,1,1,1,1,0
642,1,1,1,0,0
643,1,1,1,1,1
644,1,1,1,1,1
645,1,1,0,0,0
646,1,1,1,1,0
647,0,1,1,0,0
648,1,1,0,0,1
649,1,1,0,0,0
650,1,1,0,1,1
651,1,1,1,0,0
652,1,1,1,0,0
653,1,1,1,0,0
654,1,1,1,1,1
655,1,0,0,1,0
656,1,1,1,0,0
657,1,1,1,1,1
658,0,1,1,1,0
659,1,1,1,1,0
660,1,0,0,1,0
661,1,0,1,0,0
662,1,1,1,1,0
663,1,1,1,1,0
664,0,1,1,1,0
665,1,1,1,1,0
666,1,1,1,1,0
667,0,1,1,1,0
668,1,1,0,0,0
669,1,1,1,1,0
670,1,1,1,1,0
671,1,1,1,1,1
672,1,1,1,1,0
673,1,0,1,1,0
674,1,1,1,0,0
675,0,1,0,1,1
676,1,1,1,1,0
677,1,0,1,0,0
678,1,1,0,1,0
679,0,1,1,1,0
680,0,1,1,1,0
681,1,1,0,1,0
682,1,1,1,1,0
683,1,1,0,1,0
684,1,1,1,1,1
685,1,1,0,1,0
686,1,1,1,1,1
687,1,1,0,1,0
688,1,1,1,1,0
689,1,1,1,1,0
690,1,0,1,1,0
691,0,0,1,1,0
692,1,1,1,1,0
693,1,1,1,1,0
694,1,1,1,1,1
695,1,1,0,1,0
696,1,1,1,1,1
697,0,1,1,1,0
698,1,0,1,1,0
699,1,1,0,1,0
700,0,1,0,0,0
701,1,1,0,0,0
702,0,1,0,1,0
703,1,1,1,1,0
704,0,1,1,1,0
705,0,1,0,1,0
706,1,0,1,0,1
707,0,0,0,0,0
708,0,0,1,1,0
709,1,1,1,1,0
710,1,1,1,1,0
711,0,1,0,0,0
712,1,1,1,1,0
713,1,0,1,1,0
714,1,1,1,0,1
715,1,1,1,1,0
716,1,1,1,1,0
717,1,1,0,1,0
718,1,1,1,1,0
719,1,1,1,1,0
720,1,1,1,0,0
721,0,0,0,0,0
722,0,0,1,0,0
723,0,1,1,1,0
724,0,0,0,0,0
725,0,1,1,1,0
726,1,1,1,1,0
727,0,0,0,0,0
728,0,1,0,0,0
729,1,1,1,1,0
730,1,1,1,1,0
731,1,0,0,0,0
732,0,1,1,1,1
733,0,1,0,1,0
734,0,1,1,1,1
735,0,1,1,1,0
736,0,0,0,0,0
737,1,1,1,1,0
738,1,1,1,1,1
739,0,1,0,0,0
740,1,1,1,1,1
741,1,0,1,1,0
742,1,1,1,1,0
743,1,0,1,1,0
744,1,1,1,1,1
745,1,1,1,1,0
746,0,0,0,1,0
747,0,1,1,0,0
748,1,1,1,1,0
749,1,1,1,1,1
750,0,1,1,1,0
751,0,0,1,0,0
752,0,0,0,1,1
753,0,0,1,1,1
754,1,1,0,0,0
755,0,1,0,0,1
756,1,1,1,1,0
757,1,1,0,0,0
758,1,1,1,1,0
759,1,1,1,0,0
760,0,1,1,1,0
761,0,0,0,0,0
762,1,0,1,1,0
763,1,1,0,0,0
764,1,1,1,1,1
765,1,1,1,1,0
766,1,1,1,0,0
767,0,1,0,1,0
768,1,1,0,1,0
769,1,1,1,1,0
770,0,1,0,1,0
771,0,0,1,0,0
772,1,1,1,1,0
773,1,1,1,1,0
774,1,1,0,1,0
775,0,0,0,0,0
776,1,1,1,1,1
777,0,0,1,1,1
778,1,1,1,1,0
779,0,1,1,1,0
780,1,0,1,0,1
781,1,1,1,1,0
782,1,1,1,1,0
783,0,0,1,0,0
784,1,1,1,1,0
785,1,1,1,1,0
786,1,1,1,1,0
787,1,1,1,1,0
788,1,1,0,0,0
789,1,1,1,0,0
790,0,1,1,0,0
791,1,1,1,1,0
792,1,1,1,1,0
793,1,1,0,1,0
794,1,1,0,1,0
795,0,0,0,1,0
796,1,1,0,0,0
797,0,0,0,1,0
798,1,1,1,1,0
799,1,1,1,1,0
800,1,1,0,1,0
801,0,1,0,1,0
802,0,0,1,1,0
803,1,1,1,1,0
804,0,0,0,1,0
805,1,0,1,0,1
806,1,1,1,1,0
807,1,1,1,1,0
808,1,1,0,1,0
809,0,1,0,0,0
810,1,1,1,1,0
811,1,1,1,1,1
812,1,0,1,0,1
813,1,1,1,0,0
814,1,1,0,0,1
815,0,1,0,1,0
816,1,1,1,1,0
817,0,0,0,1,1
818,1,1,1,1,0
819,1,1,1,0,0
820,1,1,1,1,0
821,1,0,1,1,0
822,1,1,1,0,0
823,1,1,1,1,0
824,1,1,1,1,0
825,1,1,1,1,0
826,0,1,0,0,0
827,1,1,1,0,0
828,1,1,0,0,0
829,1,1,0,1,0
830,1,1,1,1,0
831,0,0,0,0,0
832,1,1,0,0,0
833,0,1,1,1,0
834,0,0,1,0,0
835,1,1,1,0,0
836,0,0,1,1,0
837,0,0,0,1,0
838,1,1,1,1,0
839,1,1,1,1,0
840,1,1,1,0,1
841,1,1,1,1,0
842,0,0,1,0,0
843,1,1,1,1,1
844,1,1,1,1,0
845,1,1,1,1,1
846,1,1,0,0,0
847,1,1,1,1,0
848,1,1,1,1,1
849,1,1,1,0,0
850,1,1,0,0,0
851,1,1,1,1,1
852,1,1,0,1,0
853,1,1,0,0,1
854,1,1,1,1,0
855,1,1,1,1,0
856,0,1,1,1,1
857,1,1,0,1,0
858,0,1,1,0,0
859,1,1,0,1,0
860,1,1,1,1,0
861,1,1,1,0,0
862,0,1,1,0,0
863,1,1,1,1,0
864,1,0,0,0,0
865,0,0,0,1,0
866,0,1,1,1,0
867,1,1,1,1,0
868,1,1,1,1,0
869,0,0,0,1,0
870,0,1,1,1,1
871,1,1,1,1,0
872,1,1,1,1,1
873,0,0,1,1,0
874,1,1,1,1,0
875,0,1,1,1,0
876,1,1,0,1,0
877,1,1,1,1,0
878,1,1,0,0,0
879,1,1,1,1,1
880,1,1,1,1,1
881,1,1,0,1,0
882,1,1,1,1,0
883,0,1,1,1,0
884,1,1,1,0,1
885,0,1,1,0,0
886,1,1,1,1,1
887,1,0,1,0,0
888,1,1,1,1,0
889,1,1,0,1,0
890,1,1,1,1,0
891,1,1,1,1,0
892,1,1,1,1,0
893,1,1,1,1,0
894,1,1,1,1,0
895,1,1,1,1,1
896,0,1,0,1,0
897,0,1,1,1,1
898,0,1,0,1,1
899,1,1,1,0,0
900,1,1,0,0,0
901,1,1,1,1,0
902,1,1,0,1,0
903,1,1,0,1,0
904,1,1,1,1,0
905,1,0,0,1,0
906,1,0,1,1,1
907,1,1,1,1,0
908,0,1,1,1,0
909,0,1,1,1,0
910,0,1,1,1,0
911,0,0,1,0,0
912,0,0,1,1,0
913,1,1,1,1,0
914,1,1,0,0,0
915,0,1,1,0,0
916,1,1,1,1,0
917,1,1,1,0,0
918,1,1,1,0,0
919,1,1,0,0,0
920,0,1,1,1,0
921,1,1,1,1,1
922,0,0,0,0,0
923,1,1,0,1,1
924,1,1,1,0,0
925,1,1,1,0,0
926,0,0,0,1,0
927,1,1,0,0,1
928,1,1,1,1,0
929,1,1,1,1,0
930,1,0,1,1,0
931,0,0,1,0,0
932,1,1,1,1,0
933,1,1,1,1,0
934,0,0,1,1,0
935,1,1,1,0,0
936,0,1,1,0,0
937,1,1,0,1,0
938,1,1,0,0,0
939,1,1,1,1,0
940,1,1,1,1,0
941,1,1,1,1,0
942,1,1,1,1,1
943,1,1,1,1,1
944,0,1,0,1,0
945,0,1,1,1,0
946,1,1,0,0,0
947,1,1,1,1,0
948,1,1,1,0,0
949,1,1,1,0,0
950,1,1,1,1,0
951,1,0,1,0,1
952,0,1,0,0,0
953,0,1,1,0,0
954,0,1,1,1,0
955,0,1,0,1,0
956,1,1,1,1,0
957,1,1,1,1,0
958,1,1,1,0,0
959,1,1,0,1,0
960,1,1,0,1,0
961,1,1,1,1,0
962,1,1,1,1,0
963,1,1,1,0,0
964,1,0,1,1,0
965,0,1,1,1,0
966,1,0,1,0,0
967,0,1,0,1,0
968,1,1,0,1,1
969,1,1,1,1,0
970,1,0,1,1,0
971,1,1,1,1,0
972,0,1,0,0,0
973,1,1,0,0,0
974,0,1,1,1,0
975,0,1,1,1,0
976,0,1,1,1,0
977,1,1,1,1,0
978,1,1,1,0,0
979,1,0,0,0,0
980,1,1,1,0,1
981,1,1,0,0,0
982,0,1,1,1,0
983,1,1,1,0,0
984,1,1,1,1,1
985,0,0,0,1,0
986,1,1,1,1,0
987,0,1,1,1,0
988,1,1,0,1,0
989,1,1,1,1,0
990,1,1,1,1,0
991,1,1,1,1,0
992,1,0,0,1,1
993,1,1,1,1,0
994,1,1,1,1,0
995,0,1,1,1,1
996,1,1,1,1,0
997,1,1,1,1,0
998,1,0,0,0,0
999,1,1,1,1,0
