,age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
79,2,1,8,2,2,1,2,2,1,1,2,1,1
80,1,2,3,2,4,1,2,1,1,1,1,1,1
81,1,1,10,2,8,1,1,2,1,1,1,1,1
82,1,2,6,1,10,2,2,1,2,1,1,1,2
83,1,1,3,2,1,1,2,2,1,1,2,1,1
84,1,2,6,2,8,1,1,2,1,1,2,1,1
85,2,2,5,2,6,1,2,2,1,1,2,1,1
86,1,2,3,2,4,1,2,1,1,1,2,1,1
87,1,2,9,1,5,2,2,2,1,1,2,1,1
88,1,2,5,1,14,2,2,2,1,1,2,1,2
89,2,2,5,2,1,1,2,1,1,1,2,1,1
90,1,2,8,2,1,1,1,1,1,1,1,1,1
91,2,2,8,2,14,1,1,2,1,1,1,1,1
92,1,1,9,2,8,1,2,1,1,1,2,1,1
93,1,1,5,2,1,1,2,1,1,1,1,1,1
94,1,2,9,2,7,1,2,1,1,1,2,1,1
95,1,1,5,1,11,2,2,2,1,1,2,1,1
96,1,2,5,2,14,1,2,2,1,1,2,1,1
97,2,2,8,2,6,1,1,2,1,1,1,1,1
98,2,2,5,2,8,1,2,1,1,1,1,1,1
99,2,2,5,2,7,1,2,1,1,1,2,1,1
100,1,2,8,1,3,2,2,2,1,1,2,1,1
101,1,2,2,1,4,2,2,2,1,1,2,1,2
102,1,2,8,1,6,2,2,2,1,1,2,1,1
103,1,2,5,2,6,1,2,2,1,1,2,1,1
104,1,2,5,1,3,2,2,2,1,1,2,1,1
105,2,2,9,2,8,1,2,1,1,1,1,1,1
106,1,2,5,1,1,1,2,1,1,1,2,1,1
107,1,2,3,2,12,1,2,1,1,1,2,1,2
108,1,1,3,2,10,1,2,1,1,1,3,1,1
109,2,2,8,2,12,1,2,1,1,1,1,1,1
110,2,2,8,2,11,1,2,2,1,1,1,1,1
111,1,2,8,2,13,1,2,1,1,1,2,1,1
112,1,2,5,2,6,1,2,1,1,1,2,1,1
113,2,2,5,2,1,1,2,1,1,1,1,1,1
114,1,1,4,1,10,2,2,1,1,1,2,1,2
115,1,2,5,2,10,1,2,2,1,1,2,1,1
116,1,1,5,1,3,2,2,2,1,1,3,2,2
117,1,2,6,1,10,2,2,2,1,2,2,1,2
118,1,2,8,1,1,2,2,2,1,1,2,1,1
119,2,2,5,2,3,1,1,1,1,1,2,1,1
120,1,1,4,1,10,2,2,2,1,1,2,1,2
121,1,2,5,1,3,2,1,2,1,1,2,1,1
122,1,2,1,2,10,1,2,1,1,1,2,1,1
123,1,2,5,1,12,2,2,2,1,1,3,1,2
124,1,2,10,1,7,2,1,2,1,1,2,1,1
125,1,2,5,1,7,2,2,1,1,1,1,1,1
126,2,2,9,1,5,2,2,2,1,1,2,1,1
127,1,2,6,1,10,2,2,2,1,1,2,1,1
128,2,2,8,2,1,1,1,1,1,1,1,2,1
129,1,2,5,1,4,2,2,2,2,1,2,1,2
130,1,1,5,1,4,2,2,2,1,2,2,1,2
131,1,2,6,2,10,1,2,1,1,1,1,1,1
132,1,1,5,2,4,1,2,1,1,1,1,1,1
133,1,2,2,2,4,1,2,1,1,1,1,1,1
134,1,2,5,1,12,2,2,2,1,1,2,1,2
135,1,2,3,1,4,2,2,2,2,1,2,1,2
136,2,2,5,2,12,1,2,2,1,1,1,1,1
137,1,2,8,2,8,1,1,2,1,1,1,1,1
138,1,2,9,1,8,2,1,1,1,1,1,1,1
139,1,2,10,1,7,2,2,2,1,1,1,1,1
140,2,2,9,2,3,1,2,2,1,1,2,1,1
141,1,1,3,1,1,2,2,2,1,2,2,1,2
142,1,2,8,2,1,1,2,1,1,1,2,1,1
143,1,1,5,2,3,1,2,2,1,1,2,1,1
144,2,2,3,2,12,1,2,2,1,1,1,1,1
145,1,2,8,2,6,1,1,1,1,2,2,1,1
146,1,1,3,2,4,1,2,2,1,1,2,1,1
147,1,2,9,1,8,2,2,2,1,1,1,1,1
148,1,2,5,1,12,2,2,2,1,1,2,1,1
149,2,2,5,1,3,2,2,2,1,1,2,1,1
150,1,2,3,2,12,1,2,2,1,1,2,1,1
151,1,1,6,1,4,2,2,2,1,1,2,1,2
152,1,2,8,1,4,2,2,2,1,1,2,1,2
153,1,1,4,1,10,2,2,2,1,1,1,1,2
154,1,2,5,1,3,2,2,2,1,1,2,1,1
155,2,2,5,2,6,1,2,2,1,1,1,1,1
156,1,1,5,2,4,1,2,2,1,1,1,1,1
157,1,2,5,1,10,2,2,2,1,2,2,1,2
158,1,2,6,2,10,1,2,2,1,1,2,1,1
159,1,2,3,2,1,1,2,1,1,1,2,1,1
160,2,2,9,1,4,2,2,2,1,1,3,1,1
161,1,1,6,2,1,1,1,1,1,1,2,1,1
162,1,2,8,1,4,2,2,2,1,1,2,1,2
163,2,2,2,1,7,2,2,2,1,1,2,1,1
164,1,2,8,1,7,2,2,2,1,1,1,1,1
165,1,1,5,1,12,2,2,2,1,1,2,1,2
166,1,2,8,1,7,2,2,2,1,2,2,1,2
167,1,2,6,2,4,1,2,2,1,1,2,1,1
168,1,1,8,1,4,2,2,2,2,1,2,1,2
169,1,2,3,2,4,1,2,1,1,1,2,1,1
170,1,2,5,2,12,1,1,1,1,1,2,1,1
171,1,2,5,2,6,1,2,2,1,1,2,1,1
172,2,2,5,2,7,1,2,2,1,1,2,1,1
173,2,2,5,2,8,1,2,1,1,1,2,1,1
174,1,2,3,1,4,2,2,2,1,2,2,1,2
175,1,2,3,2,10,1,2,2,1,1,2,1,2
176,1,2,8,2,1,1,1,1,1,1,1,1,1
177,1,2,5,2,10,1,1,1,1,1,2,1,1
178,1,2,8,2,4,1,2,1,1,1,2,1,1
179,1,2,8,2,14,1,2,2,1,1,2,1,1
180,1,1,7,1,10,2,2,1,1,1,2,1,2
181,2,2,5,2,7,1,2,1,1,1,2,1,1
182,1,2,5,1,6,2,2,2,1,1,2,1,2
183,1,1,8,1,11,2,2,2,1,1,2,1,2
184,1,1,3,1,4,2,2,2,1,1,2,1,1
185,1,2,3,2,3,1,2,2,1,1,2,1,1
186,1,1,3,2,10,1,2,1,1,1,2,1,1
187,1,2,2,1,10,2,2,2,1,1,2,1,2
188,1,1,3,1,12,2,2,2,1,1,2,1,1
189,1,2,10,1,3,2,1,2,1,1,2,1,1
190,2,1,5,1,4,2,2,2,1,1,1,1,1
191,1,2,3,1,10,2,2,1,1,1,2,1,2
192,1,2,8,1,12,2,2,2,1,1,2,1,2
193,2,2,9,2,12,1,2,2,1,1,1,1,1
194,1,2,8,2,8,1,2,1,1,1,2,1,1
195,1,1,2,2,3,1,2,1,2,1,2,1,1
196,1,2,3,1,14,2,2,2,1,1,2,1,1
197,2,2,3,2,13,1,1,1,1,1,1,1,1
198,1,2,5,1,7,2,2,2,1,1,2,1,1
199,1,1,5,2,8,1,2,2,1,1,1,1,1
200,2,2,10,2,7,1,2,2,1,1,1,2,1
201,1,2,2,2,3,1,2,2,1,1,2,1,1
202,2,2,3,2,4,1,2,1,1,1,2,1,1
203,1,2,3,1,1,2,1,2,1,1,2,2,1
204,1,2,5,2,7,1,1,1,1,1,2,2,1
205,1,2,5,2,3,1,2,2,1,1,2,1,1
206,1,1,5,1,12,2,2,2,1,1,2,1,2
207,2,1,9,1,14,2,2,2,2,1,2,1,2
208,1,2,8,1,3,2,2,2,1,1,2,1,1
209,1,2,3,1,10,2,2,2,2,1,1,1,2
210,1,1,5,1,4,2,2,2,1,1,2,1,1
211,2,2,9,2,9,1,2,2,1,1,2,1,1
212,1,2,7,1,10,2,2,2,1,1,2,1,1
213,1,2,6,2,4,1,1,1,1,1,2,2,1
214,1,2,5,1,13,2,2,2,1,1,2,1,2
215,2,1,5,1,8,2,2,2,1,1,1,1,1
216,1,2,2,2,13,1,2,1,1,1,3,1,1
217,1,2,8,1,13,2,2,2,2,1,2,1,1
218,1,2,5,2,8,1,1,1,1,1,1,2,1
219,1,2,8,2,12,1,2,1,1,1,2,1,1
220,1,2,5,1,14,2,2,2,1,1,2,1,1
221,1,1,5,2,8,1,2,1,1,1,1,1,1
222,1,1,5,1,3,2,2,2,1,2,3,1,1
223,2,2,8,2,8,1,2,1,1,1,1,1,1
224,2,1,8,1,14,2,2,2,1,1,1,1,1
225,2,1,8,2,1,1,2,1,1,1,1,1,1
226,1,2,5,1,6,2,2,2,1,1,2,1,1
227,1,2,5,1,12,1,2,1,1,1,2,1,1
228,1,2,5,1,14,2,2,2,1,1,3,1,2
229,1,1,5,1,7,2,2,2,1,1,2,1,1
230,2,2,8,2,12,1,2,2,1,1,1,1,1
231,1,2,2,2,3,1,2,2,1,1,2,1,1
232,2,2,3,1,10,2,2,2,1,1,2,1,2
233,1,2,3,2,13,1,2,2,1,1,2,1,1
234,2,2,8,2,7,1,2,2,1,1,1,1,1
235,2,1,8,2,13,1,1,2,1,1,2,1,1
236,1,2,5,2,8,1,1,1,1,1,2,1,1
237,1,1,5,2,8,1,2,2,1,1,2,1,1
238,2,1,7,2,10,1,2,2,1,2,1,1,1
239,1,2,8,1,4,2,2,1,1,1,2,1,1
240,1,1,6,2,10,1,2,2,1,1,2,1,1
241,1,2,8,2,10,1,2,1,1,1,2,1,1
242,1,2,3,2,1,1,2,1,1,1,2,1,1
243,1,2,6,2,4,1,2,1,1,1,2,1,1
244,1,2,8,1,6,2,2,2,1,1,2,1,2
245,1,2,9,1,3,2,2,2,1,1,1,1,1
246,1,2,9,1,12,2,2,1,1,1,1,1,1
247,1,2,5,1,4,2,2,2,1,1,3,1,1
248,1,2,9,1,14,2,2,2,1,1,2,1,2
249,2,2,8,1,4,2,2,1,1,1,2,1,2
250,1,1,6,2,4,1,2,2,1,1,1,1,1
251,2,2,5,2,8,1,1,1,1,1,1,1,1
252,1,2,5,2,8,1,1,2,1,1,2,1,1
253,2,2,9,2,6,1,2,2,1,1,1,1,1
254,1,1,3,1,3,2,2,2,2,1,2,1,2
255,2,2,8,2,11,1,1,2,1,1,3,1,1
256,1,1,5,1,3,2,2,2,1,1,2,1,2
257,1,2,5,1,6,2,2,2,1,1,1,1,2
258,2,2,5,2,6,1,2,1,1,1,1,1,1
259,1,2,8,2,13,1,2,1,1,1,2,1,1
260,1,2,3,1,12,2,1,2,1,1,2,1,1
261,1,2,8,2,7,1,2,1,1,1,2,1,1
262,2,2,5,2,7,1,1,2,1,1,2,1,1
263,1,2,8,1,11,2,2,2,1,1,2,1,2
264,2,1,8,1,14,2,1,2,1,1,2,1,1
265,1,2,5,2,4,1,1,2,1,1,2,1,1
266,1,2,5,1,4,2,2,2,1,1,2,1,2
267,2,2,9,1,6,2,2,2,1,1,2,1,1
268,1,2,8,1,12,2,2,2,1,1,2,1,1
269,1,2,9,2,1,1,2,1,1,1,2,1,1
270,2,2,8,1,8,2,2,2,1,1,2,1,1
271,1,2,5,2,7,1,2,2,1,2,2,1,1
272,1,2,9,1,8,2,2,2,1,1,1,2,2
273,2,2,5,2,12,1,2,2,1,1,2,1,1
274,1,1,2,2,5,1,2,2,2,1,3,1,2
275,1,2,5,1,7,1,2,2,1,2,2,1,1
276,1,2,8,1,3,2,2,2,1,1,2,1,2
277,1,2,9,2,6,1,2,2,1,2,1,2,1
278,1,1,8,2,1,1,2,1,1,1,1,1,1
279,1,2,5,2,4,1,2,1,1,1,2,1,1
280,2,2,8,2,6,1,2,2,1,1,1,1,1
281,1,2,5,1,1,1,2,1,1,1,2,1,1
282,2,2,3,2,1,1,2,2,1,1,2,1,1
283,1,1,3,1,4,2,2,2,1,1,3,1,2
284,1,1,5,1,12,2,1,2,1,1,3,2,1
285,1,1,1,1,13,2,2,2,1,1,2,1,2
286,2,2,8,2,6,1,2,2,1,1,2,1,1
287,1,1,8,1,5,2,2,2,1,1,3,1,1
288,1,2,3,2,4,1,2,1,1,1,2,1,2
289,1,2,5,1,1,2,2,1,1,1,1,1,1
290,1,2,8,2,3,1,2,2,1,1,2,1,2
291,2,2,8,2,12,1,2,1,1,1,1,1,1
292,1,2,3,1,4,2,2,2,1,1,2,1,2
293,2,2,5,1,7,2,1,2,1,1,2,1,2
294,2,2,8,2,11,1,2,2,1,1,2,1,1
295,1,1,3,1,4,2,2,2,1,1,2,1,1
296,1,2,5,1,3,2,2,2,1,1,2,1,1
297,1,2,10,1,7,2,2,2,1,1,2,2,1
298,1,2,5,2,6,1,2,2,1,1,2,2,1
299,1,2,6,1,10,2,2,2,1,1,2,1,1
300,1,1,6,2,10,1,2,1,1,1,2,1,1
301,2,2,9,2,8,1,2,2,1,1,1,1,1
302,1,1,8,1,5,2,2,2,1,1,3,1,2
303,2,2,5,2,6,1,2,2,1,1,1,1,1
304,1,2,5,1,3,2,2,2,1,1,2,1,2
305,1,2,5,2,1,1,2,1,1,1,2,1,1
306,1,2,6,1,4,2,2,2,1,2,2,1,2
307,2,2,5,2,12,1,2,1,1,1,2,1,1
308,1,2,9,2,8,1,2,1,1,1,2,2,1
309,1,2,9,2,8,1,2,1,1,1,2,1,1
310,1,1,5,1,5,2,2,2,1,1,3,1,1
311,1,2,3,2,4,1,2,1,1,1,2,1,1
312,1,2,5,1,14,2,2,2,1,1,2,1,2
313,1,2,3,2,3,1,2,2,1,1,2,1,1
314,1,2,10,1,8,2,2,2,1,1,2,2,1
315,1,2,6,1,10,2,2,2,1,1,2,1,2
316,2,2,5,1,4,2,2,2,2,1,2,1,2
317,1,2,3,2,10,1,2,1,1,1,2,1,2
318,1,2,5,2,4,1,1,1,2,1,2,1,2
319,1,2,10,1,3,2,2,2,2,1,2,1,2
320,1,2,5,2,8,1,2,1,1,1,2,1,1
321,1,2,2,2,3,1,2,2,1,1,2,1,1
322,2,2,5,2,6,1,2,2,1,1,1,1,1
323,1,1,5,2,1,1,2,1,1,1,2,1,1
324,1,2,8,1,8,2,2,1,1,1,1,1,2
325,1,2,5,1,14,2,2,2,1,1,3,1,2
326,1,2,3,1,10,2,1,2,1,1,2,1,2
327,1,2,3,2,12,1,2,2,1,1,2,1,1
328,1,1,7,1,10,2,2,2,2,1,3,1,2
329,1,1,1,2,11,1,1,2,1,1,2,1,1
330,1,2,3,2,1,1,1,1,1,1,2,1,1
331,1,2,9,1,3,2,2,2,1,1,2,1,1
332,1,2,8,2,3,1,2,2,1,1,3,1,1
333,1,2,8,2,6,1,2,2,1,1,1,1,1
334,1,1,8,1,4,1,2,1,1,1,2,1,1
335,1,2,5,1,3,2,2,2,1,1,2,1,2
336,1,1,7,1,10,2,2,2,1,1,1,1,2
337,1,2,8,1,12,2,2,2,1,1,3,1,1
338,1,1,8,1,12,2,2,2,1,1,3,1,2
339,1,1,6,1,10,2,2,1,1,1,1,1,1
340,1,2,9,2,8,1,2,1,1,1,2,2,1
341,2,2,8,1,12,2,2,2,1,1,3,1,1
342,1,2,10,2,3,1,2,2,1,1,2,2,1
343,2,2,5,1,3,2,2,2,1,1,2,1,1
344,1,1,3,1,12,2,2,2,1,1,2,1,1
345,1,1,5,2,3,1,2,2,1,1,2,1,1
346,1,2,5,1,4,2,2,2,1,1,2,1,2
347,1,2,3,1,10,2,1,1,1,2,2,1,1
348,2,2,5,2,4,1,1,1,1,1,2,2,1
349,2,2,5,2,3,1,2,2,1,1,1,1,1
350,1,1,5,1,4,2,1,2,1,1,2,1,2
351,1,2,3,2,13,1,2,1,1,1,2,1,1
352,1,1,4,1,4,2,2,1,1,2,1,1,2
353,1,2,5,2,1,1,1,1,1,1,1,1,1
354,1,2,9,1,14,2,2,2,1,1,3,1,2
355,1,2,9,1,8,2,2,2,1,1,1,2,1
356,1,2,5,2,1,1,1,1,1,1,1,1,1
357,1,2,9,2,1,1,2,1,1,1,2,1,1
358,2,1,5,1,1,2,2,1,1,1,2,1,1
359,1,2,5,1,4,2,2,2,1,2,2,1,2
360,1,2,3,2,10,1,2,1,1,1,2,1,2
361,1,2,5,2,14,1,1,2,1,1,2,1,1
362,1,1,6,2,10,1,2,1,1,1,2,1,1
363,2,2,5,2,3,1,2,1,1,1,2,1,1
364,1,2,5,2,7,1,1,2,1,1,3,1,1
365,1,2,3,1,4,2,1,2,1,1,2,2,2
366,1,2,6,1,4,2,1,2,1,1,2,2,1
367,1,2,3,1,4,2,2,2,1,1,2,1,1
368,1,2,3,2,12,1,2,1,1,1,2,1,1
369,1,2,1,2,13,1,2,1,1,1,1,1,1
370,2,2,9,2,12,1,2,1,1,1,1,1,1
371,1,2,5,1,7,2,2,2,1,1,3,1,1
372,1,2,5,2,14,1,2,2,1,1,2,1,1
373,1,2,3,2,1,1,2,1,1,1,2,1,1
374,1,2,5,2,7,1,2,2,1,1,2,1,1
375,1,2,8,2,4,1,2,1,1,1,2,1,1
376,1,2,3,1,10,2,2,1,1,1,1,1,2
377,1,2,9,2,14,1,2,1,1,1,2,1,1
378,1,2,5,1,1,2,2,1,1,1,2,1,2
379,2,2,5,2,6,1,2,2,1,1,3,1,1
380,1,1,9,1,1,2,2,2,1,1,2,2,1
381,1,2,9,1,14,2,2,2,1,1,2,1,2
382,1,2,5,1,6,2,2,2,1,1,1,1,1
383,1,1,8,1,10,1,1,2,1,1,2,2,1
384,1,1,7,1,10,2,2,2,2,1,2,1,2
385,1,1,3,2,4,1,2,2,1,1,2,1,1
386,1,2,5,2,3,1,2,1,1,1,2,1,1
387,1,2,8,2,13,1,2,2,1,1,2,1,1
388,2,2,3,2,12,1,2,2,1,1,2,1,1
389,1,2,2,2,1,1,1,1,1,1,2,1,1
390,1,2,5,2,1,1,2,2,1,1,2,1,2
391,1,2,5,2,8,1,2,1,1,1,2,1,1
392,1,2,8,2,1,1,2,1,1,1,2,1,1
393,1,2,9,2,8,1,2,1,1,1,2,1,1
394,2,1,5,1,14,2,2,2,1,1,2,1,1
395,2,2,5,2,8,1,1,2,1,1,1,1,1
396,1,2,8,1,1,2,1,1,1,1,2,1,2
397,1,2,5,2,4,1,1,1,1,1,1,1,1
398,2,1,6,1,10,2,2,2,1,1,2,1,1
399,1,2,3,1,3,2,2,2,1,1,2,1,2
400,1,1,5,1,4,2,2,2,1,1,3,1,1
401,1,2,3,1,4,2,2,2,1,2,2,1,2
402,1,2,5,1,1,2,2,2,1,1,2,1,1
403,2,2,3,1,12,2,2,2,1,1,2,1,1
404,1,2,3,2,12,1,2,1,1,1,2,1,1
405,1,1,5,1,4,2,2,2,1,1,3,1,1
406,2,2,8,2,12,1,2,1,1,1,1,1,1
407,1,2,4,1,10,2,2,2,1,1,2,1,2
408,1,2,8,1,4,2,2,2,1,1,2,1,1
409,1,2,3,2,10,1,2,2,1,1,2,1,1
410,2,2,3,2,1,1,2,2,1,1,2,1,1
411,2,2,8,2,1,1,1,2,1,1,2,1,1
412,1,1,5,1,14,2,2,2,1,1,2,1,1
413,2,1,5,1,5,2,2,2,1,1,2,1,1
414,1,1,6,1,10,2,2,2,1,1,2,1,2
415,1,2,5,2,1,1,2,2,1,1,2,1,1
416,2,1,3,2,4,1,2,1,1,1,2,1,1
417,2,2,8,2,7,1,2,2,1,1,2,1,1
418,2,1,8,2,11,1,2,2,1,2,1,1,1
419,1,2,3,1,10,2,2,2,1,1,3,1,2
420,2,2,5,2,1,1,2,1,1,1,1,1,1
421,1,2,8,1,7,2,2,2,1,1,2,2,1
422,1,1,5,1,8,2,2,1,1,1,1,1,1
423,1,2,5,1,3,2,2,2,1,1,2,2,1
424,1,2,3,1,12,2,2,2,1,1,3,1,1
425,1,1,10,1,3,2,2,2,1,1,1,1,1
426,1,1,5,1,8,2,2,2,1,1,2,1,1
427,1,1,9,2,11,1,2,2,1,1,2,1,1
428,1,1,6,1,4,2,1,2,1,1,2,1,2
429,1,2,5,1,7,2,2,2,1,1,2,1,1
430,1,2,2,1,8,2,2,2,1,1,2,1,1
431,2,2,5,2,6,1,2,2,1,1,2,1,1
432,1,2,5,2,12,1,2,2,1,1,2,1,1
433,1,1,6,2,10,1,2,2,1,1,2,2,2
434,2,2,8,2,8,1,2,2,1,1,2,1,1
435,2,1,8,2,5,1,2,1,1,1,3,1,1
436,1,2,10,1,8,2,2,2,1,1,2,2,1
437,1,2,8,2,7,1,2,2,1,1,2,1,1
438,1,2,8,1,12,2,2,1,1,1,1,1,1
439,1,2,8,2,12,1,2,1,1,1,1,1,1
440,1,2,3,1,1,2,2,1,1,1,1,1,1
441,1,2,3,2,6,1,2,2,1,1,2,1,1
442,2,2,8,2,12,1,1,2,1,1,1,1,1
443,1,2,3,2,4,1,2,2,2,1,2,1,2
444,2,2,5,2,4,1,2,1,1,1,1,1,1
445,1,2,5,2,3,1,2,2,1,1,2,1,1
446,2,2,5,2,14,1,2,2,1,1,2,1,1
447,1,2,1,2,8,1,2,2,1,1,1,1,1
448,2,2,3,2,10,1,2,2,1,1,1,1,1
449,2,2,8,1,3,2,2,2,1,1,2,1,1
450,1,2,2,2,7,1,2,2,1,1,2,1,1
451,1,2,3,2,6,1,2,2,1,1,1,1,1
452,1,2,9,1,12,2,2,2,1,1,3,1,1
453,1,2,5,1,6,2,1,2,1,1,2,1,1
454,1,1,9,1,3,2,1,2,1,1,2,1,1
455,1,2,8,1,4,2,2,2,1,1,1,1,1
456,2,2,8,2,7,1,2,2,1,1,2,1,1
457,1,2,5,2,4,1,2,2,1,1,3,1,1
458,1,2,10,2,7,1,1,2,1,1,2,2,1
459,2,1,7,2,10,1,2,1,1,1,1,1,1
460,1,1,8,1,3,2,2,2,1,1,2,1,2
461,1,2,9,1,3,2,2,2,1,1,2,2,1
462,1,1,8,1,13,2,2,2,1,1,2,1,1
463,1,2,3,2,1,1,2,1,1,1,1,1,1
464,1,1,5,1,3,2,2,2,1,1,3,1,1
465,2,2,5,2,1,1,2,1,1,1,1,1,1
466,2,2,8,1,4,2,2,2,2,1,2,1,2
467,2,1,2,2,1,1,2,1,1,1,1,1,1
468,1,1,5,1,14,2,2,2,1,1,3,1,2
469,1,2,5,2,7,1,2,2,1,1,2,1,1
470,2,2,9,2,8,1,2,1,1,1,1,1,1
471,2,2,5,2,14,1,1,2,1,1,2,1,1
472,2,2,8,2,8,1,2,1,1,1,1,1,1
473,1,2,8,2,1,1,2,2,1,1,2,1,1
474,1,2,5,2,13,1,2,1,1,1,2,1,1
475,1,2,4,1,10,2,2,2,1,2,3,1,1
476,2,1,10,1,5,2,1,2,1,1,2,2,1
477,1,2,3,2,4,1,2,1,1,1,2,1,1
478,1,1,5,1,14,2,2,2,1,1,2,1,2
479,1,1,3,1,5,2,2,2,1,1,3,1,1
480,2,2,8,2,5,1,2,2,1,1,1,1,1
481,1,1,8,1,4,2,2,2,1,1,2,1,1
482,1,2,5,2,1,1,1,1,1,1,2,1,1
483,1,2,3,1,4,2,2,2,1,1,2,1,1
484,1,1,9,1,4,2,2,2,1,1,2,1,1
485,1,2,3,2,4,1,2,1,1,1,1,1,1
486,1,2,3,1,12,2,2,2,2,1,2,1,2
487,1,2,3,2,4,1,1,2,1,1,2,1,1
488,2,1,3,2,10,1,2,1,1,1,1,1,1
489,1,2,8,2,1,1,2,1,1,1,2,1,1
490,1,2,9,1,8,2,1,2,1,1,2,1,1
491,1,1,5,1,3,2,2,2,1,1,3,1,1
492,1,2,6,1,10,2,2,1,1,1,1,1,1
493,1,2,5,2,14,1,2,2,1,1,2,1,1
494,1,2,8,1,3,2,2,2,2,1,2,1,2
495,1,2,5,1,14,2,2,2,1,1,3,1,2
