,sex,age_cat,race,juv_crime,priors_count,c_charge_degree,score_text,v_score_text,two_year_recid
63,2,1,1,1,6,1,3,2,2
64,2,1,2,2,2,1,3,2,2
65,2,1,1,1,3,1,2,2,1
66,2,3,1,1,2,2,2,2,2
67,2,3,2,1,1,1,1,3,1
68,1,1,1,1,2,1,2,2,2
69,2,1,1,1,1,1,2,2,1
70,2,1,1,1,2,2,2,2,1
71,2,1,1,1,9,2,1,1,2
73,2,1,1,9,15,1,1,1,2
75,2,3,1,2,3,1,1,1,2
76,1,1,1,1,2,2,2,2,1
77,2,1,1,1,10,1,3,3,2
78,2,1,2,1,8,1,1,2,2
80,2,1,2,1,10,1,1,1,2
81,1,3,2,1,1,1,3,1,1
82,2,1,2,1,3,1,2,2,2
83,1,2,2,1,1,2,2,2,1
85,2,3,1,1,2,2,2,3,2
86,2,1,1,1,2,1,2,2,1
87,1,1,2,1,1,1,2,2,2
88,2,3,2,4,9,1,3,3,2
89,2,1,2,1,1,1,2,2,1
90,2,1,2,1,1,2,3,2,1
91,1,1,2,1,2,1,2,2,1
92,2,1,2,1,2,1,2,2,1
93,2,3,1,1,4,1,1,3,2
94,2,1,2,1,6,2,2,2,2
95,2,1,2,1,1,1,3,3,1
96,2,1,1,1,6,1,3,2,2
97,2,1,1,1,4,1,2,2,1
98,2,1,2,1,2,1,2,2,2
99,2,1,1,2,11,1,1,3,2
100,2,3,1,1,1,1,2,3,2
101,2,1,1,13,29,1,1,3,2
102,2,1,1,1,2,2,3,1,1
104,2,1,2,1,14,1,1,3,2
105,2,1,1,1,4,1,1,2,2
106,2,2,2,1,4,2,1,3,1
107,2,1,1,1,20,1,1,3,2
108,2,1,2,1,7,1,2,2,1
109,1,1,2,1,3,1,2,3,1
110,2,1,2,1,2,2,2,2,1
112,2,1,2,1,1,2,2,2,2
113,1,3,1,1,1,2,2,2,1
114,1,1,2,2,11,1,2,2,2
115,2,1,2,1,3,2,2,2,2
116,2,1,1,1,4,1,3,2,2
117,2,1,2,1,3,2,2,2,2
118,2,1,1,1,2,2,2,2,1
119,2,2,2,1,2,1,2,2,2
120,1,3,1,2,2,1,1,1,1
121,1,1,2,1,1,2,2,2,1
122,2,1,1,3,10,1,1,2,2
123,2,1,1,1,12,1,3,3,2
124,2,1,1,1,9,2,3,2,2
125,1,1,1,1,1,1,2,2,2
126,1,1,1,1,8,1,1,1,2
127,2,1,1,1,3,1,1,1,2
128,1,3,1,1,1,1,3,1,1
129,1,1,2,1,1,2,3,2,1
130,1,2,1,1,2,1,2,2,2
133,1,1,1,1,5,1,1,1,2
135,1,1,1,1,3,2,2,2,2
136,2,1,2,2,2,2,2,2,1
137,1,1,2,1,4,1,3,2,2
138,2,1,1,1,2,1,3,1,1
139,2,2,2,1,3,2,2,2,1
140,2,3,1,1,2,1,2,2,1
141,2,2,2,1,7,1,2,2,2
142,2,1,2,1,1,1,3,2,1
143,2,1,1,1,2,2,2,2,2
145,1,1,1,1,6,1,3,2,1
147,2,2,1,1,9,1,2,2,1
149,2,1,1,1,7,2,3,3,2
152,2,2,2,1,2,2,2,2,2
153,2,2,2,1,1,1,2,2,1
155,2,3,1,1,2,1,3,3,2
156,2,2,1,1,24,2,1,2,2
157,2,3,1,1,1,2,2,2,2
159,2,2,1,1,4,1,2,2,1
160,2,2,2,1,9,2,2,2,2
161,2,1,1,1,3,2,1,1,2
162,2,1,2,1,1,1,2,2,2
163,2,1,1,1,10,1,1,1,2
164,2,2,2,1,3,1,2,2,1
165,2,3,1,1,1,1,2,2,2
166,2,1,1,1,3,2,2,2,1
167,1,3,1,1,2,2,2,2,1
169,2,2,2,1,2,1,2,2,1
170,1,1,2,1,1,2,2,2,1
171,2,1,2,1,5,2,2,2,1
172,1,1,1,2,24,1,1,1,2
174,2,1,1,1,3,1,1,1,2
175,2,1,1,1,1,2,2,2,1
176,1,1,1,1,1,1,1,3,1
177,1,1,2,1,8,1,1,3,2
178,2,1,1,1,3,1,2,2,1
179,1,1,1,1,2,1,1,3,1
180,2,2,2,1,8,1,2,2,2
181,2,1,1,1,16,1,1,2,1
182,2,1,1,1,3,2,3,2,1
183,1,2,2,1,1,2,2,2,2
184,2,2,2,1,1,2,2,2,1
186,2,2,1,1,1,1,2,2,1
187,2,1,2,1,5,1,2,2,2
188,1,1,1,1,3,1,3,2,1
189,1,1,1,1,6,2,3,2,1
190,2,1,1,1,12,1,1,1,2
191,2,1,1,1,1,2,2,2,1
193,2,2,1,1,12,1,1,1,1
194,2,3,1,1,3,1,1,3,1
195,2,1,1,1,1,2,2,2,1
196,2,2,2,1,1,1,2,2,1
197,2,1,2,1,14,1,2,2,2
198,2,2,1,1,1,1,2,2,1
199,2,1,2,1,2,1,2,2,1
200,2,1,1,3,12,2,1,2,2
201,2,1,2,1,2,1,3,2,1
202,2,3,1,1,1,1,2,3,1
203,2,1,1,1,5,1,2,2,1
205,2,1,2,1,1,1,1,3,2
206,2,1,2,1,1,1,2,2,2
207,2,1,1,2,15,1,1,1,1
208,2,2,2,1,2,2,2,2,1
209,2,1,1,1,26,1,1,1,2
210,2,1,2,1,9,2,3,2,2
211,2,1,1,1,1,1,2,2,1
212,2,3,2,2,2,2,1,3,2
217,1,3,2,5,6,1,3,3,2
219,2,1,1,1,2,2,2,2,1
220,2,3,1,1,2,1,1,3,2
221,2,1,1,1,3,1,3,3,2
223,2,1,1,1,5,1,2,2,1
224,1,1,1,1,3,1,2,2,1
225,2,3,1,1,1,1,1,3,1
227,1,2,1,1,1,1,2,2,1
228,1,3,1,1,1,1,2,2,2
229,1,2,1,1,1,1,2,2,1
230,2,1,2,1,1,1,3,2,1
231,2,1,2,1,1,1,3,3,2
232,2,1,1,1,12,1,3,3,2
233,2,3,1,3,4,2,1,3,2
234,1,3,2,1,2,1,2,2,1
235,1,1,1,1,3,2,2,2,1
237,2,2,1,1,4,1,3,2,2
238,2,1,1,1,1,1,2,2,1
239,2,1,2,1,4,1,2,2,1
240,2,2,2,1,2,2,2,2,1
241,2,2,2,1,4,1,2,2,1
242,2,3,1,1,1,2,1,3,2
243,2,1,1,1,2,2,1,3,2
245,2,1,2,1,6,2,2,2,1
246,2,1,1,1,6,2,2,2,1
247,2,3,2,1,1,1,3,3,2
248,2,1,1,1,6,1,2,2,2
249,2,1,1,1,7,1,2,2,2
251,2,2,2,1,3,1,2,2,1
252,1,3,1,1,1,2,3,3,1
253,2,3,1,2,5,2,1,3,2
254,2,2,2,1,1,1,2,2,1
255,2,1,2,1,6,1,2,2,1
257,1,1,1,1,6,1,2,2,1
259,2,1,1,1,1,2,2,2,1
260,2,1,2,1,1,2,2,2,2
261,2,1,2,1,4,2,2,2,2
262,1,1,2,1,1,1,2,2,1
264,2,1,1,1,1,1,2,2,1
265,2,3,1,1,1,1,1,1,2
266,1,2,2,1,1,2,2,2,1
267,2,2,2,1,1,2,2,2,1
268,2,1,1,1,8,1,1,3,1
269,2,3,1,1,1,1,1,1,2
270,2,1,2,1,9,1,3,2,1
271,2,3,1,2,3,1,1,1,2
272,2,2,2,1,34,1,3,1,2
273,2,1,2,1,3,2,2,2,2
275,1,1,1,1,1,1,3,3,1
276,1,1,2,1,3,2,2,2,2
278,2,1,2,1,2,1,3,2,1
279,1,3,1,1,1,1,1,3,2
280,2,1,2,1,1,2,2,2,1
281,2,3,1,1,1,1,2,2,1
283,2,1,1,1,1,1,2,2,1
284,1,1,2,1,1,2,3,2,1
286,2,1,1,2,13,1,1,3,2
287,2,3,1,2,2,1,3,3,1
288,2,2,1,1,4,1,2,2,1
289,2,1,2,1,1,1,2,2,1
290,2,3,1,3,3,1,1,1,2
293,1,3,2,3,1,1,3,1,1
294,2,2,2,1,1,2,2,2,1
295,2,3,2,1,3,1,3,3,1
296,2,1,1,2,7,2,1,1,2
297,2,3,2,1,1,1,2,3,1
298,1,3,1,1,1,1,3,3,2
299,2,2,1,1,4,1,3,2,1
300,2,1,1,2,3,2,2,2,1
301,1,2,2,1,1,2,2,2,1
302,2,3,1,3,4,1,1,1,2
305,2,1,2,1,1,1,2,2,1
306,2,3,1,2,2,1,2,3,1
307,2,3,2,1,3,2,3,3,2
308,2,3,1,1,5,1,1,3,2
309,2,3,1,1,1,1,3,3,2
310,2,1,2,1,2,2,2,2,1
311,1,2,2,1,2,2,2,2,2
312,2,1,2,1,1,1,3,1,2
313,2,1,1,1,8,1,1,3,2
314,1,2,2,1,2,2,2,2,1
315,1,3,1,1,1,1,2,2,1
316,2,1,1,1,2,1,2,2,1
317,2,1,1,1,2,2,2,2,1
318,2,1,1,3,7,1,1,2,2
319,2,3,1,1,5,1,1,1,2
320,2,3,2,1,4,2,3,1,1
321,2,1,1,1,24,1,1,2,2
322,2,1,1,1,3,1,3,3,1
323,2,2,1,1,3,1,2,2,1
324,2,1,1,1,8,1,2,2,1
325,2,2,2,2,24,1,1,3,2
326,1,2,2,1,1,2,2,2,1
327,2,1,1,1,13,1,1,3,2
328,2,1,1,1,6,1,1,3,1
329,2,1,2,1,4,2,2,2,1
331,2,1,1,1,15,1,3,2,2
332,2,1,1,2,3,1,3,3,1
333,2,3,1,2,1,2,1,3,2
334,2,1,2,1,1,1,2,2,1
335,2,2,1,1,6,1,2,2,1
336,2,1,1,1,10,1,1,1,2
337,2,2,2,1,5,1,2,2,2
338,2,1,1,1,4,1,2,2,1
341,1,1,2,1,1,2,3,2,1
342,2,2,2,1,1,2,2,2,1
343,1,3,1,1,1,1,3,1,1
344,2,2,1,1,12,1,3,2,1
345,2,1,2,1,1,2,2,2,2
347,2,3,2,1,1,1,2,3,1
348,1,2,2,1,3,2,2,2,1
349,2,1,1,1,8,2,2,2,2
350,2,3,2,1,2,1,3,3,2
351,2,1,1,1,9,1,3,3,2
353,2,3,1,1,1,1,3,1,2
354,2,1,2,1,1,2,3,2,2
355,2,2,1,1,22,2,3,2,2
356,2,3,1,1,4,1,3,3,1
358,2,1,2,1,1,1,2,2,1
359,2,2,1,1,2,1,3,3,2
360,2,1,2,1,4,2,2,2,1
361,2,1,1,1,4,1,2,2,1
362,2,3,2,3,4,1,1,3,2
363,2,1,2,1,1,1,2,2,1
364,2,1,1,1,3,1,3,2,1
365,1,3,1,1,4,1,1,1,2
366,2,3,2,2,2,1,1,1,2
367,2,1,2,1,3,2,2,2,1
368,1,3,2,1,1,1,3,3,1
369,2,1,2,1,1,2,2,2,1
371,2,3,1,3,2,1,1,1,2
372,2,3,1,1,2,2,2,2,2
373,2,2,2,1,5,1,2,2,1
374,1,2,1,1,4,1,2,2,1
375,2,1,1,1,2,2,2,2,1
376,2,1,1,1,6,1,2,2,1
377,2,3,2,1,1,2,2,2,1
378,1,2,1,1,3,1,1,1,2
379,2,1,2,1,1,2,2,2,2
381,2,1,1,1,14,2,1,1,2
382,2,1,1,1,2,2,3,2,2
383,2,1,1,1,4,1,3,2,2
384,2,2,2,1,7,1,3,2,2
385,2,1,2,1,2,1,2,2,2
386,2,2,1,1,6,1,2,2,2
387,2,1,1,3,11,1,1,3,2
388,2,1,1,1,6,1,1,1,1
389,2,2,2,1,3,1,2,2,1
390,2,1,1,1,1,1,2,2,1
391,2,3,1,6,7,1,3,3,1
392,2,2,1,1,29,1,1,3,2
393,2,1,1,2,9,1,3,2,2
394,1,3,1,2,7,1,1,1,2
395,2,2,1,1,3,2,2,2,1
396,2,2,1,1,13,2,3,2,2
397,2,3,2,2,2,2,3,3,2
398,2,1,1,1,2,2,2,2,1
399,2,3,1,1,2,1,1,1,2
400,2,2,2,1,1,1,2,2,1
402,2,1,2,1,4,1,2,2,1
403,2,2,2,1,4,1,2,2,1
404,2,1,2,1,5,1,3,2,2
405,2,2,2,1,1,1,2,2,1
407,2,2,2,1,2,1,2,2,2
411,1,3,2,2,7,1,1,2,2
412,2,3,2,5,3,2,1,1,2
414,2,1,1,1,2,1,2,2,1
415,1,1,2,1,1,2,2,2,1
416,2,1,2,1,1,2,2,2,2
417,2,2,1,1,1,2,2,2,1
418,2,1,1,1,5,1,2,2,2
419,1,2,2,1,1,2,2,2,1
420,2,1,1,1,1,1,3,2,1
421,2,1,2,1,2,2,2,2,2
424,2,2,1,1,33,1,3,2,2
425,2,1,2,1,3,1,3,2,1
426,2,2,2,1,2,2,2,2,1
427,2,1,2,1,2,1,2,2,1
428,2,2,2,1,5,2,2,2,1
430,1,1,1,1,1,2,2,2,1
431,1,2,2,1,1,2,2,2,1
434,2,1,1,1,3,2,2,2,1
435,1,1,1,1,7,1,2,2,1
437,2,2,1,1,11,1,3,2,2
438,2,1,1,1,6,1,3,2,2
439,2,3,2,1,1,1,2,2,1
440,2,2,2,1,2,1,3,2,2
441,2,2,1,1,5,2,3,2,1
442,2,3,1,1,1,1,2,3,2
443,2,1,2,1,5,1,2,2,2
444,2,3,2,1,1,1,2,2,1
445,2,3,2,1,1,2,1,3,1
446,2,1,2,5,7,1,2,2,1
447,2,1,1,2,2,2,2,2,2
448,2,1,1,1,1,1,2,2,1
449,2,1,1,2,7,1,2,3,2
450,2,1,2,1,2,1,2,2,2
451,2,3,2,1,1,1,2,3,2
453,2,1,2,1,1,1,2,2,1
455,2,1,1,1,1,1,3,2,1
456,2,1,1,1,15,1,3,3,2
457,2,3,2,2,10,2,1,1,2
459,2,2,2,1,2,2,2,2,1
460,2,1,1,1,6,1,1,3,2
462,2,2,2,1,3,1,3,2,2
463,2,1,1,1,2,2,2,2,1
464,2,3,2,1,3,1,2,2,1
465,2,1,1,1,9,1,3,2,1
466,2,2,1,1,7,1,3,2,1
467,2,1,1,2,4,1,3,2,1
469,2,1,1,1,4,1,2,2,2
470,2,3,1,3,4,1,3,3,2
471,2,2,2,1,2,2,2,2,1
472,2,3,1,2,4,1,3,3,2
473,2,2,1,1,4,2,2,2,1
474,2,1,1,1,1,1,2,2,1
475,2,1,2,1,2,1,3,2,1
476,2,1,1,10,17,1,1,1,2
477,1,1,1,1,1,2,2,2,1
478,2,3,1,1,2,1,3,3,1
479,2,1,2,1,3,1,2,2,2
480,2,1,2,1,6,1,2,2,1
482,2,1,1,1,6,2,2,1,2
483,2,1,2,1,12,2,2,3,1
484,1,1,1,1,7,1,2,2,2
485,2,1,2,1,1,2,2,2,1
486,2,1,1,1,16,1,3,3,1
488,1,1,1,1,1,2,2,2,1
490,1,2,2,1,3,2,2,2,2
491,2,2,2,1,6,1,2,2,2
492,2,2,2,1,1,2,2,2,2
493,1,2,2,1,1,2,2,2,1
494,2,1,1,2,6,1,3,3,2
495,1,3,2,1,1,2,2,2,1
496,2,3,2,1,2,2,2,3,1
500,2,1,1,1,1,2,2,2,1
501,1,3,2,1,1,1,3,3,1
502,2,1,1,1,1,2,2,2,1
505,1,3,2,2,1,1,3,3,1
506,2,3,1,2,2,1,2,3,1
507,2,1,1,1,4,2,1,2,2
508,2,1,1,1,4,2,3,1,2
509,2,1,1,1,1,1,2,2,1
510,2,3,1,1,12,1,1,1,2
511,1,1,1,1,2,1,2,2,1
513,2,1,1,1,2,2,3,2,1
514,2,1,2,1,7,1,3,2,2
515,1,2,2,1,1,2,2,2,1
516,2,1,2,1,3,2,2,2,1
517,2,1,1,1,6,2,3,3,2
518,2,1,2,1,1,1,2,2,1
519,2,3,1,2,1,1,1,3,2
520,2,1,1,1,5,1,3,2,2
521,2,2,2,1,1,2,2,2,1
522,2,1,2,1,3,2,2,2,2
523,2,1,1,1,11,1,2,2,1
524,2,2,1,1,10,2,2,2,2
525,1,3,2,1,4,1,1,1,1
526,1,3,1,1,1,2,3,3,1
527,1,3,2,1,3,1,1,3,2
528,2,1,1,1,2,2,2,2,1
529,2,1,1,1,1,2,2,2,1
530,2,2,1,1,16,1,3,2,2
532,2,3,1,3,5,1,1,3,2
533,2,1,2,1,4,1,3,2,2
534,2,1,2,1,6,2,1,3,1
535,2,1,2,1,2,1,3,2,1
536,2,3,2,3,4,1,3,3,2
537,2,1,1,1,1,1,2,2,1
538,2,1,1,4,19,1,1,3,2
539,1,1,2,1,1,1,2,2,2
541,1,2,1,1,5,1,2,2,2
542,1,2,2,1,1,2,2,2,2
543,2,3,1,2,1,1,2,3,1
544,1,3,1,1,1,1,1,3,1
545,2,1,1,1,1,1,2,2,1
546,2,1,1,1,9,1,1,2,2
547,1,1,1,1,11,1,3,2,1
548,1,2,2,1,2,1,3,2,1
549,2,1,2,1,3,1,2,2,2
550,2,1,1,1,1,1,1,1,2
551,2,3,1,1,2,1,2,3,2
552,2,1,1,1,14,1,3,2,2
553,2,1,2,1,2,1,2,2,2
554,2,1,1,1,24,1,1,1,2
555,2,2,1,1,21,1,1,3,1
556,2,3,1,2,4,1,3,3,1
557,2,1,1,2,2,2,1,2,2
559,2,2,1,1,3,2,2,2,2
560,2,1,1,1,1,2,2,2,1
561,1,1,1,1,1,1,2,2,1
562,2,2,2,1,2,2,2,2,1
564,2,3,1,1,1,1,3,3,1
565,2,1,1,1,12,1,2,2,1
568,1,1,1,1,1,2,2,2,1
569,1,2,2,1,3,1,2,2,1
570,2,1,1,1,1,2,2,2,1
571,2,1,1,1,1,2,3,2,2
572,2,2,1,1,18,1,1,3,2
573,2,3,1,2,4,1,1,1,1
574,1,1,2,1,1,2,2,2,1
575,1,1,2,2,16,1,1,2,2
577,2,3,1,2,3,2,1,1,2
578,2,1,1,1,4,1,2,2,1
580,2,2,2,1,4,1,2,2,2
581,2,1,1,1,6,1,3,2,1
582,2,1,1,2,5,2,3,2,1
583,2,1,1,1,15,1,1,3,2
584,2,2,2,1,3,1,2,2,1
585,2,1,1,1,4,2,2,2,2
586,2,2,2,1,3,1,3,2,2
587,2,2,1,1,21,1,3,2,2
588,2,1,1,1,3,2,2,2,1
589,2,3,1,1,2,2,3,2,1
590,2,1,1,1,2,1,2,2,1
591,2,2,1,1,1,1,2,2,1
592,2,1,1,1,7,1,2,3,1
593,2,1,1,1,11,2,3,2,2
594,2,1,1,2,11,1,1,3,2
595,2,1,2,1,2,1,2,2,1
596,1,2,2,1,10,1,2,2,2
597,2,2,2,1,2,1,2,2,1
598,2,1,1,1,1,1,2,2,1
600,1,2,2,1,3,1,1,2,1
601,2,3,1,1,1,1,3,2,2
602,2,2,1,1,19,1,1,3,2
603,2,2,1,1,1,2,2,2,1
604,2,3,1,1,2,1,3,3,1
605,2,1,2,1,2,1,2,2,2
606,2,2,2,1,1,1,2,2,1
607,2,1,2,1,1,2,2,2,2
609,2,3,2,1,1,2,2,3,1
610,2,1,2,1,1,1,2,2,2
611,2,2,2,1,1,2,2,2,1
612,2,3,2,1,2,1,2,3,1
614,2,3,1,1,1,1,1,3,1
615,2,1,2,1,2,1,2,2,1
616,2,3,2,3,2,1,2,3,2
617,2,2,1,1,1,1,2,2,2
618,1,1,1,1,5,1,1,3,2
619,2,2,1,1,3,1,3,2,1
620,2,3,1,2,7,1,1,1,2
621,2,3,1,1,1,1,1,3,1
622,2,1,1,1,1,1,2,2,1
623,2,3,1,1,1,1,2,2,1
624,2,2,1,1,12,1,1,3,1
625,2,1,1,2,11,1,3,2,2
626,2,3,1,1,1,1,2,2,1
627,1,3,2,1,1,2,3,3,1
629,2,1,2,1,23,1,3,3,2
630,2,3,1,1,1,1,1,1,2
631,1,2,2,1,1,1,2,2,1
632,2,1,1,3,8,2,3,3,2
633,1,1,1,1,2,2,1,3,1
634,2,2,1,1,9,1,2,2,1
635,2,1,1,5,11,2,1,2,1
636,1,1,1,1,1,1,3,2,1
637,2,3,1,3,1,1,3,1,2
638,1,1,1,1,4,1,3,2,1
639,2,3,1,1,3,1,3,3,2
640,2,1,1,1,5,1,3,3,2
641,1,2,1,1,20,1,1,2,2
644,1,3,2,1,2,1,1,3,2
645,1,3,1,1,1,1,2,2,1
647,1,2,1,1,1,1,2,2,1
648,1,3,1,1,1,1,3,3,1
649,2,1,1,2,6,1,3,2,2
650,2,1,1,1,7,1,3,3,1
652,2,1,1,1,5,1,1,3,2
653,2,1,1,1,2,2,2,2,1
656,2,1,1,1,1,2,2,2,1
657,2,1,1,1,9,1,3,2,2
658,2,1,2,1,1,2,2,2,1
659,2,2,2,1,1,2,2,2,1
660,2,1,1,1,5,1,2,2,1
661,1,1,1,1,5,1,3,2,1
662,2,3,2,1,2,2,2,3,2
663,2,3,2,4,3,1,1,1,2
664,2,3,2,1,1,1,2,3,2
665,2,2,1,1,12,1,3,3,1
666,2,2,2,1,1,1,3,2,1
668,1,1,1,1,4,1,3,2,1
669,2,1,2,1,1,2,2,2,1
670,2,3,1,2,2,1,1,1,2
671,2,1,2,1,3,2,2,2,1
672,2,3,1,1,1,1,3,2,2
673,2,1,1,2,23,1,1,1,2
675,2,2,1,1,1,2,2,2,1
677,2,3,2,3,1,1,2,3,1
678,1,3,1,1,2,2,3,2,2
679,1,1,1,1,2,2,2,2,1
681,2,1,2,1,3,1,3,3,1
682,2,1,1,1,4,1,2,2,2
683,1,1,1,1,1,2,2,2,1
684,2,1,1,1,1,1,2,2,1
686,2,1,1,1,18,1,1,3,2
687,2,3,1,1,2,1,2,2,2
688,2,1,1,1,8,1,3,2,1
689,2,3,1,2,1,1,2,2,1
690,2,1,2,1,9,1,2,2,1
691,2,1,1,1,15,1,3,1,2
692,2,1,1,1,1,2,3,2,1
693,1,1,2,1,2,2,2,2,2
694,2,1,1,1,6,2,1,3,2
695,2,1,1,2,17,1,1,3,1
696,2,1,2,1,2,2,2,2,2
698,2,1,2,1,1,2,2,2,1
699,2,2,2,1,3,1,2,3,1
700,2,1,1,1,4,2,3,3,2
701,1,3,1,1,2,1,2,2,1
702,2,1,2,1,3,2,2,2,1
703,2,1,1,1,14,1,1,3,2
706,2,1,1,2,21,1,1,2,1
707,2,1,1,3,4,1,1,1,2
708,2,2,1,2,26,1,1,1,2
709,2,3,1,2,2,2,3,1,2
710,2,2,1,2,10,2,1,2,2
711,2,1,2,1,6,1,2,2,2
712,2,2,1,1,5,2,3,3,2
713,2,1,1,1,5,2,2,2,1
714,2,2,2,1,5,2,2,2,1
715,2,1,1,1,2,1,2,3,2
716,2,1,1,1,3,2,2,3,1
717,2,1,1,1,7,1,3,2,2
719,2,2,2,1,1,1,2,2,1
720,2,3,1,2,2,2,3,3,2
721,2,1,2,1,5,2,3,2,2
722,1,1,2,1,2,2,2,2,2
723,2,3,1,2,2,1,1,3,1
724,2,3,1,3,2,1,1,3,2
725,2,3,2,3,4,1,2,2,2
726,2,1,1,2,5,2,1,1,2
727,2,2,2,1,2,1,2,2,1
728,2,3,1,2,6,1,3,2,2
729,2,1,2,1,1,1,2,2,1
730,2,2,2,1,1,1,2,2,1
731,2,3,1,3,8,2,1,3,1
732,1,3,2,1,1,2,3,3,1
733,2,3,1,1,2,1,2,3,2
734,2,1,1,1,10,2,1,2,1
735,2,1,1,1,6,1,2,2,2
736,1,3,2,1,2,1,3,3,1
737,2,1,1,1,1,1,1,1,2
738,2,1,1,4,26,2,1,3,2
739,2,3,1,1,1,1,2,3,1
740,2,1,1,1,14,1,1,3,2
742,1,1,1,1,5,1,2,2,1
743,2,1,2,1,1,1,2,2,1
744,1,2,1,1,1,1,2,2,1
745,2,3,1,3,4,1,1,1,1
746,1,1,1,1,2,2,2,2,1
747,2,3,2,2,2,1,1,3,2
748,2,1,2,1,4,1,2,2,1
749,2,3,1,5,7,1,1,3,2
751,2,1,1,1,2,1,2,2,1
752,2,2,2,1,2,1,2,2,1
753,2,1,1,1,2,1,3,2,1
755,2,2,1,1,4,1,2,2,1
756,2,3,2,1,2,2,2,3,2
757,2,1,1,1,5,1,3,2,1
758,1,1,2,1,2,1,2,2,2
759,1,1,1,1,2,1,3,2,1
761,2,1,1,1,10,1,3,3,2
762,2,1,2,1,1,1,1,3,2
763,2,2,2,1,2,1,2,2,2
766,2,1,1,1,4,2,3,2,2
767,2,1,1,1,4,1,2,2,2
768,2,1,1,1,6,2,2,2,2
770,1,1,2,1,1,2,2,2,1
771,2,1,1,1,1,1,2,2,2
772,1,1,2,2,4,2,2,2,1
773,1,2,2,1,1,2,2,2,1
774,2,3,2,1,1,1,2,2,1
777,2,1,1,2,7,2,3,2,2
778,2,3,1,1,2,1,3,3,2
779,2,2,1,1,3,1,2,2,2
780,2,1,1,1,1,2,2,2,1
781,2,2,2,1,2,1,3,2,1
782,2,1,1,1,5,2,2,2,2
783,1,2,2,1,2,1,2,2,2
784,2,2,1,1,4,1,2,2,2
785,2,3,1,1,3,1,1,3,2
786,2,1,1,1,20,1,1,1,2
787,2,2,1,1,4,2,1,2,1
788,2,1,2,1,3,1,2,2,1
789,2,2,1,1,1,2,2,2,1
790,2,1,1,1,11,2,3,3,2
791,2,1,1,1,2,1,2,2,1
795,1,1,2,1,2,2,2,2,1
797,2,1,1,1,15,1,1,3,2
798,2,3,1,1,3,1,3,3,1
799,2,1,1,1,6,1,1,1,2
801,2,1,2,1,2,1,3,2,1
802,2,3,1,1,2,1,1,3,1
803,2,1,1,1,3,2,2,2,2
804,2,3,1,3,7,1,3,3,2
805,1,1,2,1,1,1,3,3,1
806,2,3,2,1,1,1,2,3,1
807,2,1,1,1,2,2,3,2,2
808,2,2,1,1,1,1,3,2,2
809,2,1,1,1,8,1,3,1,2
810,2,1,2,1,3,1,2,2,1
811,2,1,2,1,6,1,2,2,1
812,2,3,2,1,1,2,2,3,1
813,1,3,2,2,1,2,3,3,2
814,2,2,1,1,1,1,2,2,1
815,2,1,1,1,11,1,3,1,2
816,2,3,2,1,1,2,2,3,1
818,2,3,1,1,3,1,3,3,2
820,2,1,1,1,6,2,1,2,2
821,2,1,1,2,11,1,3,3,2
822,2,2,1,1,5,2,3,2,2
823,2,3,2,1,3,2,3,3,2
824,2,1,1,1,1,2,2,2,2
825,1,3,1,1,1,1,2,3,1
826,2,2,1,1,7,2,2,2,2
