,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
89,2,3,5,9,1,3,2,4,3,3,2,2,2,2,2,2,1,1,2,2,1,1
90,4,3,2,8,1,3,4,4,3,4,2,2,2,2,1,2,1,1,2,2,1,2
91,2,3,2,3,1,3,4,4,3,3,2,2,2,2,1,2,1,1,2,2,1,2
92,4,3,2,8,1,5,4,4,3,3,3,2,1,2,1,4,2,1,2,1,1,1
93,3,3,2,6,2,5,4,4,1,4,4,1,2,3,2,2,1,1,2,2,1,2
94,1,3,4,2,1,4,4,4,3,4,2,2,2,2,1,2,1,2,2,2,1,2
95,1,3,5,1,3,3,3,3,3,4,4,2,2,3,1,2,1,2,2,2,1,1
96,4,3,2,5,2,5,2,4,3,2,1,2,2,2,1,2,1,1,2,1,1,2
97,1,3,4,1,2,1,1,4,3,4,1,2,2,2,1,2,1,1,2,2,1,2
98,1,3,2,8,2,3,4,4,3,4,2,2,2,2,1,2,1,1,2,2,1,2
99,1,3,3,3,3,5,2,3,3,4,3,2,1,3,2,1,2,2,2,2,1,2
100,4,3,4,2,1,1,4,4,3,4,2,2,2,3,1,4,1,1,2,2,2,2
101,1,3,4,8,2,3,2,4,3,4,1,1,2,3,1,2,1,1,2,2,1,2
102,4,2,3,8,1,3,1,3,3,2,2,1,2,2,1,2,1,1,2,1,1,2
103,1,2,2,6,1,3,2,4,3,3,1,2,2,3,1,2,1,2,2,2,1,2
104,4,3,4,3,2,5,3,2,3,4,1,2,2,3,1,2,1,2,2,2,2,2
105,1,3,2,7,3,3,1,2,1,3,1,2,2,2,2,1,2,2,2,2,1,1
106,4,3,1,2,3,3,4,2,3,4,4,2,1,2,2,1,2,2,2,2,1,1
107,1,3,4,2,3,3,2,2,3,2,1,2,2,2,1,2,1,1,2,2,1,2
108,2,3,4,6,3,5,3,1,3,2,3,2,2,2,1,2,1,2,1,1,1,2
109,1,3,4,1,1,2,4,1,3,2,2,2,2,2,1,2,1,2,2,2,2,2
110,1,2,3,1,1,1,4,1,3,2,1,2,1,2,2,2,2,1,2,2,1,2
111,3,3,4,5,1,3,3,4,3,4,3,1,2,3,1,2,1,2,2,1,1,2
112,1,3,4,2,3,3,2,3,3,3,2,2,2,3,1,4,1,1,2,2,1,2
113,4,3,2,2,3,3,1,4,3,2,2,1,3,2,2,2,1,2,2,1,1,1
114,2,3,4,8,1,2,4,3,3,1,2,2,2,2,1,2,1,1,2,2,2,2
115,4,3,2,8,2,5,4,4,3,1,2,2,2,2,1,2,1,2,2,2,1,2
116,2,3,4,8,3,5,2,4,3,3,1,2,2,2,1,1,1,2,2,1,1,1
117,2,2,2,6,2,5,3,2,1,3,2,2,2,3,2,2,1,1,1,1,1,2
118,2,3,2,6,2,2,1,1,3,4,1,1,2,2,2,2,1,1,2,1,1,1
119,1,3,2,2,2,2,2,3,3,3,1,2,2,2,1,1,1,2,2,2,1,2
120,2,3,4,8,1,3,1,3,3,2,2,1,2,2,2,2,1,2,2,1,1,1
121,4,3,2,3,2,3,4,4,3,2,1,2,2,3,2,1,1,2,2,1,1,2
122,4,3,4,6,1,3,1,3,3,2,2,1,2,3,1,4,1,1,2,2,1,2
123,3,2,2,2,1,3,4,4,3,4,4,2,2,1,2,2,1,2,2,2,1,2
124,1,3,4,6,1,5,3,4,3,3,2,2,2,3,1,2,1,1,2,1,1,1
125,2,3,2,2,2,3,1,4,3,2,3,2,2,2,2,2,1,1,2,2,1,2
126,2,3,4,8,1,3,1,4,3,2,2,2,2,2,1,4,1,1,2,2,2,2
127,1,3,4,9,1,3,1,4,3,2,1,2,2,2,1,2,1,1,2,2,1,1
128,1,3,2,3,1,3,5,4,3,2,1,2,2,2,2,1,1,2,2,2,1,2
129,2,3,2,2,2,3,1,3,1,2,2,2,2,2,2,2,1,1,2,1,1,1
130,1,3,4,2,3,5,2,1,3,2,1,1,2,2,1,2,1,1,2,1,1,2
131,2,3,3,5,3,3,1,4,3,3,3,2,3,2,1,2,1,2,2,2,1,1
132,4,3,4,6,2,3,3,2,3,3,3,2,1,2,2,4,1,1,2,2,1,2
133,4,3,4,6,1,3,1,4,3,4,4,2,1,1,2,2,1,1,2,2,1,2
134,4,3,4,8,3,1,2,2,3,4,2,1,2,2,1,2,1,2,2,1,1,2
135,4,3,2,8,1,5,4,4,3,2,2,2,2,2,2,2,1,2,2,1,1,2
136,4,3,3,3,3,4,1,2,3,2,1,2,2,2,2,2,1,1,2,2,1,2
137,1,3,4,8,1,2,1,4,3,3,2,2,2,2,1,4,1,1,2,2,1,1
138,1,3,2,8,2,5,2,4,2,2,2,2,1,2,3,2,1,2,2,2,1,2
139,3,3,4,8,1,3,1,2,3,2,1,2,2,3,1,4,1,2,2,1,1,2
140,3,2,4,2,1,4,3,2,3,2,2,2,2,2,1,3,1,1,1,2,2,2
141,1,3,4,8,2,3,3,4,3,1,4,2,2,2,1,1,1,2,2,1,1,2
142,2,3,4,8,2,3,1,3,3,2,1,2,2,2,1,1,1,1,2,2,1,2
143,2,3,4,6,2,3,1,2,3,2,1,1,2,2,1,2,1,1,2,2,1,1
144,4,3,2,6,2,3,3,4,3,4,3,1,2,2,1,2,1,2,2,1,1,2
145,1,3,1,1,2,1,2,4,3,2,1,2,2,2,1,2,1,1,2,2,1,2
146,2,2,2,2,1,3,4,1,3,4,4,2,2,2,2,2,1,2,2,1,1,2
147,4,3,2,2,1,1,2,4,3,3,1,2,2,2,2,2,1,2,2,1,1,2
148,2,3,2,6,3,3,1,3,2,2,3,2,2,2,2,2,1,1,2,2,1,2
149,4,3,2,8,1,4,4,4,3,4,1,2,2,2,2,2,1,1,2,2,1,2
150,4,2,4,8,1,1,4,2,3,4,4,2,1,1,1,2,2,2,2,2,1,2
151,4,2,4,8,1,3,1,1,3,4,3,2,2,2,1,2,1,2,1,2,1,2
152,3,3,4,8,3,3,1,4,3,1,1,1,2,2,1,2,1,1,2,2,1,2
153,1,3,2,3,3,4,4,2,3,4,4,2,2,3,1,2,1,1,2,1,1,2
154,1,3,3,1,3,1,2,4,3,4,1,2,2,3,1,1,1,2,2,2,1,2
155,2,3,4,6,1,3,1,2,3,4,1,1,2,3,1,2,1,1,2,1,1,1
156,2,2,2,9,1,1,4,3,2,4,2,2,2,2,2,2,2,1,1,2,1,2
157,2,3,1,10,1,3,4,4,3,1,1,2,1,2,1,4,1,1,2,2,2,2
158,1,3,4,2,2,1,2,2,3,3,1,2,1,2,2,2,1,2,2,2,1,2
159,4,2,2,8,1,5,1,1,3,2,2,2,2,2,2,4,2,1,2,2,1,2
160,4,3,2,8,2,1,4,3,3,4,2,2,2,2,1,2,2,2,2,2,1,2
161,4,3,2,2,1,3,3,4,3,1,3,2,2,2,2,2,1,1,2,1,1,2
162,4,3,4,4,1,2,2,4,3,3,3,2,2,2,2,2,1,2,2,2,1,2
163,1,2,4,2,3,3,5,2,3,4,4,2,1,1,1,1,1,2,2,2,1,2
164,4,3,4,2,1,2,4,4,3,4,3,2,2,2,1,2,1,1,2,2,1,2
165,4,2,4,6,2,2,1,1,3,2,1,2,2,2,1,2,1,2,2,2,1,2
166,2,3,4,6,1,3,5,4,3,2,1,2,2,2,1,2,1,1,2,1,1,1
167,1,2,4,6,1,4,3,4,3,1,2,1,2,2,1,2,1,1,2,1,1,2
168,4,3,4,6,2,3,2,2,3,4,3,1,2,3,1,2,1,2,2,1,1,2
169,1,3,2,1,1,3,4,4,3,4,2,2,2,2,2,2,1,2,2,2,1,1
170,2,3,5,2,1,3,4,4,3,3,1,2,2,3,2,2,2,1,2,2,1,1
171,4,3,4,6,1,3,1,4,3,1,2,2,2,2,1,2,1,2,2,1,1,2
172,1,3,3,6,2,3,5,3,3,2,3,2,2,2,1,1,1,2,2,1,1,1
173,1,2,4,8,1,3,1,4,2,2,2,2,2,2,1,2,1,1,1,2,1,2
174,2,3,3,5,2,3,3,2,3,1,3,2,2,2,2,2,1,1,2,2,1,1
175,4,3,1,3,3,5,5,4,3,1,2,2,1,2,1,1,1,2,2,1,1,1
176,2,3,4,6,2,3,1,2,3,1,1,2,2,2,1,2,1,1,2,2,1,2
177,2,2,2,8,1,2,4,4,3,4,1,2,2,2,2,2,1,1,2,2,1,2
178,4,3,4,8,1,3,2,4,3,2,1,2,2,3,2,1,2,2,2,2,1,2
179,2,3,2,2,1,3,4,4,3,4,2,2,2,2,2,2,1,1,2,2,1,2
180,4,3,3,1,3,3,3,1,3,1,1,2,2,2,2,2,1,1,2,2,1,1
181,1,3,3,1,2,3,1,2,3,2,2,2,3,2,2,1,1,2,2,2,1,1
182,2,3,1,2,1,5,1,4,3,2,3,2,2,2,2,4,2,1,2,2,1,1
183,4,3,2,6,2,4,1,4,3,4,2,2,2,2,1,2,1,2,2,2,1,2
184,1,3,2,2,1,3,4,4,3,4,1,2,1,2,1,2,2,2,2,2,1,1
185,4,3,2,8,1,3,1,4,3,2,3,2,2,2,2,2,1,1,2,2,1,2
186,1,2,1,3,3,3,4,2,3,4,4,2,1,1,1,1,2,2,2,1,1,1
187,1,3,2,2,1,3,5,2,3,3,1,2,2,1,3,3,1,2,2,2,1,2
188,2,3,4,8,1,1,2,4,3,1,3,1,2,2,1,2,1,1,2,2,2,1
189,1,3,5,6,2,3,1,1,3,4,1,2,1,2,2,2,1,2,2,1,1,2
190,4,3,4,1,2,4,1,2,3,3,3,2,2,2,3,1,1,2,2,2,1,1
191,1,3,5,1,2,1,2,4,3,4,4,2,2,1,1,4,2,1,2,2,1,1
192,1,3,4,1,2,3,1,4,3,2,1,2,2,2,1,2,2,2,2,2,1,1
193,4,2,4,8,2,3,2,2,3,2,2,2,2,3,1,2,1,1,2,2,2,2
194,1,3,4,8,2,1,1,4,2,4,3,1,2,3,1,2,1,1,2,2,1,1
195,1,2,2,5,1,3,4,2,3,3,1,2,2,2,2,1,1,2,2,1,1,1
196,4,2,2,8,1,3,1,1,3,1,1,2,2,2,2,2,1,2,2,1,1,2
197,1,3,4,6,1,1,3,4,3,4,1,2,1,3,4,2,1,1,2,1,1,1
198,1,3,4,3,2,5,4,4,3,4,4,2,1,1,1,2,1,2,2,2,1,2
199,1,3,3,6,2,3,4,4,3,3,4,2,2,2,1,1,1,2,2,2,1,1
200,4,2,2,5,1,2,4,4,3,2,1,2,2,2,2,2,1,2,2,2,1,2
201,2,3,4,2,1,3,1,4,3,3,2,2,2,2,1,4,1,1,2,2,2,2
202,4,3,3,1,3,3,2,3,3,4,1,2,2,2,2,2,1,1,2,2,1,2
203,2,3,4,10,1,3,2,4,3,4,3,1,2,3,1,2,1,1,2,2,2,1
204,4,3,2,2,1,3,4,4,3,1,2,2,2,2,2,4,2,1,2,2,1,2
205,2,3,2,3,3,3,4,3,3,4,4,2,2,1,3,1,2,2,2,2,1,2
206,4,3,2,6,1,3,4,4,3,4,2,2,2,2,3,2,1,2,2,2,1,2
207,1,3,2,4,1,3,2,4,3,3,3,2,2,2,1,2,1,1,2,2,1,2
208,2,3,4,1,3,3,1,2,3,2,1,1,3,2,1,4,1,1,2,2,2,2
209,4,3,4,3,1,4,2,3,3,2,3,2,2,2,1,2,1,1,1,2,1,2
210,4,2,2,8,2,5,1,1,3,2,2,2,2,2,2,2,2,1,2,2,1,2
211,4,3,4,8,2,5,4,2,3,4,2,2,2,2,1,4,1,2,2,1,1,2
212,2,3,5,1,3,3,5,2,3,4,3,2,3,2,2,2,1,2,2,2,1,1
213,3,3,3,1,1,3,4,4,3,4,2,2,2,2,1,1,1,2,2,2,1,1
214,4,3,2,8,2,5,4,4,3,2,1,2,2,2,1,2,1,2,2,2,1,2
215,1,2,2,10,1,5,2,1,3,3,3,2,2,2,2,4,1,1,2,1,1,2
216,2,3,5,1,2,3,2,3,3,1,3,2,1,2,1,2,1,2,2,2,1,2
217,3,3,4,8,2,3,1,2,3,2,2,1,2,2,1,2,1,2,2,2,1,2
218,2,3,4,6,2,3,1,2,3,2,2,1,2,3,1,4,1,1,2,2,1,2
219,4,2,4,2,1,3,1,2,3,4,1,2,2,2,1,2,1,2,2,1,1,2
220,1,3,4,8,1,3,3,4,2,1,2,2,1,2,1,4,1,1,2,2,2,2
221,2,3,4,5,1,5,1,4,3,4,3,1,1,3,1,2,1,2,2,1,1,2
222,4,3,4,8,1,3,1,4,3,2,2,2,1,2,2,2,1,1,2,2,1,2
223,4,3,3,1,2,5,1,4,3,4,2,2,2,2,2,2,2,2,2,2,1,2
224,4,3,4,3,2,3,1,3,3,2,1,2,2,2,1,2,1,2,2,2,1,2
225,4,3,5,9,2,3,1,4,3,2,1,2,2,2,2,2,1,1,2,2,1,2
226,1,3,4,8,3,4,2,1,1,2,4,2,1,2,2,2,1,2,2,2,1,1
227,2,3,4,6,3,3,4,4,3,4,4,2,2,1,1,1,1,2,2,2,1,1
228,4,2,4,8,1,3,2,4,3,2,1,1,2,2,1,2,1,1,2,2,1,1
229,2,3,4,6,2,3,3,4,3,1,4,1,1,1,1,2,1,1,2,2,1,2
230,3,3,4,8,2,3,1,4,3,2,1,2,2,2,1,2,1,1,2,2,1,1
231,4,2,4,2,2,2,4,2,3,4,4,2,2,1,1,4,1,1,2,2,1,2
232,4,3,4,8,2,1,2,3,3,1,4,2,2,2,1,2,1,1,2,2,1,2
233,1,3,4,8,1,3,1,4,2,2,2,1,2,2,1,4,1,1,2,2,2,2
234,4,1,2,8,1,3,2,2,3,1,2,2,2,2,3,4,2,1,2,2,1,2
235,2,3,4,8,1,3,5,4,3,2,1,2,3,2,1,1,2,1,2,2,1,1
236,1,2,4,2,3,5,5,1,3,2,3,1,2,2,1,3,1,2,2,2,1,1
237,1,3,4,1,2,1,4,4,3,2,1,2,1,3,2,4,1,1,2,2,1,1
238,4,3,2,8,1,3,1,4,3,2,3,2,2,2,2,2,1,1,2,1,1,2
239,2,3,4,8,2,3,4,1,2,3,3,2,2,2,1,2,2,1,2,2,1,2
240,2,3,4,2,1,5,4,4,3,2,1,2,1,2,1,2,1,1,2,1,1,1
241,4,2,4,8,1,3,2,3,3,2,3,2,2,2,1,2,2,1,2,2,1,2
242,2,3,5,3,2,3,4,3,3,4,4,1,2,1,2,2,2,1,2,2,1,1
243,4,3,2,1,1,3,1,3,3,2,2,2,2,2,2,2,1,1,2,1,1,2
244,4,3,1,10,2,2,1,4,3,3,2,2,2,2,1,4,2,1,2,1,1,2
245,4,3,4,1,1,3,2,4,3,1,2,1,2,2,1,2,1,2,2,2,1,2
246,4,3,2,8,1,3,4,4,3,4,2,2,2,2,3,2,1,1,2,2,1,2
247,4,2,5,2,1,1,1,4,3,1,4,2,1,3,1,2,1,1,1,2,1,2
248,3,3,4,6,1,3,1,2,3,2,2,2,2,2,1,2,1,1,2,2,1,2
249,4,3,4,8,1,3,5,3,1,4,2,1,2,3,1,2,1,1,2,1,1,1
250,2,2,2,2,1,4,2,3,3,4,2,2,2,2,2,4,1,2,2,1,1,2
251,3,3,4,6,2,3,1,1,3,2,1,2,2,2,1,4,1,1,2,1,1,2
252,1,3,4,2,2,3,1,4,2,2,4,1,1,2,1,2,1,1,2,1,1,1
253,4,3,3,6,2,1,1,2,3,3,3,2,2,2,2,2,1,1,2,2,1,2
254,1,2,4,6,2,5,2,2,3,1,1,1,2,2,1,2,1,2,2,2,1,2
255,1,3,3,8,3,5,1,1,3,1,2,2,2,2,1,4,1,1,2,2,1,2
256,4,3,2,8,2,3,1,4,3,2,2,2,2,2,2,4,1,1,2,2,1,2
257,2,3,1,8,2,3,1,4,3,1,4,2,2,1,1,2,1,1,2,2,1,1
258,4,3,4,3,2,1,3,1,3,4,1,1,2,2,1,2,1,2,2,1,1,2
259,4,2,2,8,1,1,5,4,3,4,2,2,2,2,3,4,1,1,2,1,1,2
260,2,3,4,6,1,3,1,2,3,2,2,2,2,2,1,2,1,1,2,2,1,2
261,2,3,4,8,1,3,4,4,3,4,1,2,2,2,1,2,1,1,2,1,1,2
262,2,3,2,2,3,3,4,2,3,4,4,2,2,1,3,1,1,2,2,2,1,2
263,4,3,2,5,2,3,4,2,3,4,4,2,1,1,3,4,1,1,2,1,1,2
264,4,2,2,2,1,3,4,3,3,4,2,2,2,2,2,4,2,1,1,2,1,2
265,1,3,4,8,1,3,4,4,3,3,1,2,2,2,1,2,2,1,2,2,1,1
266,4,3,2,1,3,5,4,4,3,4,2,2,2,2,2,2,1,1,2,2,1,2
267,4,3,4,8,1,3,3,4,3,3,1,2,3,2,1,2,1,2,2,1,1,2
268,2,3,4,2,3,3,4,1,3,4,3,2,2,2,1,1,1,2,1,2,1,1
269,4,3,4,8,1,5,4,4,3,2,1,1,2,2,2,2,1,1,2,2,1,2
270,4,3,4,2,2,5,2,4,3,3,3,2,2,2,1,2,1,1,1,2,1,2
271,4,3,2,6,1,2,2,3,3,4,1,2,2,3,1,2,1,2,2,1,1,2
272,1,3,1,2,3,5,5,4,1,4,4,2,2,1,1,1,1,2,2,2,1,2
273,1,3,4,8,2,3,2,4,3,4,2,2,2,2,2,2,1,1,2,2,1,1
274,2,3,4,9,3,3,3,1,3,1,4,2,2,2,1,4,1,2,2,2,1,1
275,4,2,4,8,2,3,1,1,3,2,2,2,2,2,1,2,2,1,2,2,1,2
276,4,3,2,8,2,3,1,2,3,2,1,2,2,2,2,2,1,1,2,1,1,2
277,2,3,4,6,1,5,4,2,3,4,3,2,2,2,1,4,1,2,2,2,1,2
278,4,2,4,6,2,3,3,1,3,4,3,2,2,2,1,2,1,1,2,1,1,1
279,4,3,4,8,1,1,1,4,3,4,1,2,2,3,1,1,1,2,2,2,1,2
280,4,3,2,3,2,4,4,3,3,4,4,1,2,3,2,2,1,2,2,2,1,2
281,4,3,4,6,1,3,1,4,3,2,2,2,2,2,1,2,1,1,2,2,1,2
282,3,3,1,8,1,5,2,4,3,4,1,2,1,2,1,4,1,1,2,2,1,2
283,4,3,2,6,1,5,4,4,3,4,3,2,2,2,1,2,1,1,2,2,1,2
284,1,3,2,2,2,1,3,4,3,2,1,2,2,2,1,2,1,2,2,2,1,2
285,2,3,4,2,3,3,3,1,3,1,2,2,2,2,1,4,1,2,2,1,1,2
286,2,3,4,3,2,3,2,4,3,3,3,2,2,2,1,2,2,1,2,2,1,2
287,1,3,3,7,3,1,5,2,3,4,4,2,2,1,1,1,1,2,2,2,1,2
288,1,3,4,8,1,3,1,4,2,4,2,2,2,2,2,2,1,2,2,1,1,2
289,2,3,3,8,1,3,3,4,3,4,2,2,3,2,1,2,1,1,2,2,2,1
290,4,3,4,1,1,3,1,2,3,2,2,2,2,2,1,2,1,2,1,2,2,2
291,1,3,4,3,3,3,3,1,3,4,1,2,2,3,1,1,1,2,2,2,2,1
292,2,3,2,3,3,3,4,2,3,4,4,2,2,1,2,1,2,2,2,1,1,2
293,3,3,2,3,2,3,4,4,3,4,4,2,2,1,1,2,1,1,2,2,1,2
294,4,3,2,1,3,5,4,4,3,2,1,2,1,2,2,1,2,1,2,2,1,2
295,1,3,4,6,3,3,3,1,3,2,1,2,2,2,1,2,1,2,2,1,1,1
296,4,3,4,3,2,5,3,1,3,4,1,1,2,3,1,2,1,1,2,1,1,2
297,4,2,4,2,1,5,4,4,1,2,3,2,2,2,1,4,1,1,1,2,1,2
298,4,3,4,6,2,3,1,3,3,4,2,2,2,2,1,2,1,2,2,2,1,2
